iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,pageRank_unique.wpr,close_unique.closeness,outdegree_unique.degree,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,pageRank_repro.wpr,close_repro.closeness,outdegree_repro.degree,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,pageRank_total.wpr,close_total.closeness,outdegree_total.degree,indegree_total.degree,local_clust_tt_total,local_clust_out_total
AFG,Afghanistan,2000,3521418059.92,174.93,20130327.0,,21.982129603362765,,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2000,5.1643858,16.817738,-5.4804392,-5.4683113,0.0008414826182058,40.7770337971028,1.81068995787668,1.19777666323741,0.886691227262261,0.998459792477302,0.00263218831152,47.1181221241172,2.89116684250881,18.3932102313956,0.952670246823477,0.899091080639074,0.001914245222872,2069.03610209109,52.0075941475852,253.482912233037,0.966803322252683,0.979251149007684
ALB,Albania,2000,3584570164.85,1160.42,3089027.0,61.61,21.999904405580896,4.120824195026479,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2000,7.0565372,14.943367,0.093971729,0.087594986,0.0013146497124483,54.6158232244461,2.60987044684982,1.55339444753639,0.978204160468885,0.969192427751485,0.0019605481224713,448.857606981934,6.83607767558328,35.5396035460373,0.967590163523869,0.975166143646144,0.0020452369343258,7570.06441875729,91.307898811847,237.84846094127,0.988907316518919,0.993153158848996
DZA,Algeria,2000,54790398570.33,1772.93,30903893.0,62.86,24.726780806978947,4.140910031369422,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2000,7.4803886,17.246393,0.10505772,0.11905479,0.0013827357673253,10.9943014754845,1.36132297665579,2.09642095805867,0.936613452423729,1.0,0.0034304463962225,338.815368747947,5.90991587272091,197.113220022347,0.96084391981421,0.845628211740883,0.0031355237450608,35137.1026753201,2921.36489021271,1362.58628134479,0.985174859160834,0.990450205497902
AND,Andorra,2000,1432606188.69,21810.25,65685.0,,21.08276113203617,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2000,9.9901352,11.092626,0.14452648,0.14414597,0.0019020950443388,24.6934681923821,1.82145896491753,2.71427825774587,0.999649119650199,1.0,0.0018034638510247,463.833368742637,9.28392250659232,46.8285419862595,0.977696374961221,0.974127709663284,0.0020119955968727,1779.9052779353,18.7423973165377,220.411329441408,0.996975235273417,0.992942988775398
AGO,Angola,2000,9129594970.15,563.73,16194869.0,,22.9347871680446,,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2000,6.3345752,16.600204,0.36145258,0.39459419,0.0011244707964375,13.5585458615258,2.18100726548807,1.63879501774964,0.800758708465654,0.846746438746439,0.0025806502082868,132.102260507724,4.17107790463358,59.1577624673911,0.933514392154689,0.93488887889823,0.002224464547708,32948.1212778034,1333.93813630026,405.746457708365,0.985953270429229,0.984153857183793
ATG,Antigua and Barbuda,2000,901003703.7,12027.49,74912.0,,20.619019926219,,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2000,9.3949499,11.22407,0.058652878,0.075426102,0.0020361452219838,4.0771496930853,1.63717517009068,2.11071277787962,0.847913887653772,0.714666666666667,0.0018641462871979,168.621532838314,4.24293290659,20.9431144564091,0.963940708029771,0.796527730380024,0.0021845593023881,4161.39948305368,48.9780438541395,210.985837254001,0.975023872265609,0.976348186943061
ARG,Argentina,2000,284203750000.0,7637.01,37213984.0,22.62,26.372957247455503,3.1188344706879745,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2000,8.9407616,17.432196,-0.0089330673,0.0023975372,0.0026637974189639,192.321525533684,9.38735835486127,4.50927983960568,0.966632985801562,0.99441317915815,0.0076839044726178,4103.67168480842,128.976704761144,731.915916711288,0.940003466381227,0.809235054722104,0.0046167990002161,36279.5556206461,3324.8178766253,2691.20090121198,0.944879782737872,0.925439603267965
ARM,Armenia,2000,1911563668.85,593.45,3221100.0,72.23,21.371187418864107,4.279855472062756,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2000,6.3859529,14.985233,0.018332005,0.035181046,0.0013275979606841,27.3828792462484,1.84241601735323,1.95233215296135,0.950589960300444,1.0,0.0020549980658309,545.992733120304,13.6757741314984,30.3493915323797,0.915661971674547,0.832345613388851,0.0018779537670411,4609.59385836802,92.3744523780847,182.541695318292,0.977034667811108,0.968419496205462
ABW,Aruba,2000,1873452513.97,20681.02,90588.0,145.07,21.351048829717204,4.977216384550811,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2000,9.9369717,11.414077,0.073462486,0.083772659,0.0028882115984802,14.9363548736272,1.96707252368146,4.09339749837152,0.811990705103207,0.493201144245464,0.001819706562405,74.16443467638,2.7358089266799,25.259028884782,0.979451465857218,0.852740454227884,0.0019200040773688,23370.7557479367,389.186756707672,249.620029299042,0.981363665059281,0.986944203239206
AUS,Australia,2000,416167815092.91,21870.42,19028802.0,40.94,26.75435441752875,3.712107580233144,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2000,9.9928904,16.761465,0.054389954,0.065834045,0.0094903604987524,241.774660835426,24.4755107223116,36.7596398224097,0.82173955270853,0.809037322658543,0.0103281907343236,5729.4087634728,465.836748290229,1478.20850828736,0.886618412588835,0.80214663426761,0.0093034621749024,53322.8688798628,6633.38354404382,6283.11227284468,0.953769987490146,0.947063970560266
AUT,Austria,2000,196181599831.29,24487.3,8011566.0,85.84,26.00230659696466,4.452485098322443,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0,2000,10.10591,15.896397,-0.10059261,-0.0981884,0.0086936583968744,257.26621227237,26.5989503288165,21.901537512172,0.847733814773056,0.905821161147847,0.0094351528470411,13640.6022078845,1451.65631973201,1464.81787555967,0.898399288834324,0.88195281683477,0.0082246697327751,60201.2939002546,5768.45166856125,6298.60523451368,0.969171583321658,0.968634436955904
AZE,Azerbaijan,2000,5272615722.97,655.1,8048600.0,78.55,22.38579241848222,4.36373536470163,Azerbaijan,1,Asia,40.366665,49.883335,Azeri,RUS,Emerging and Developing Economies,0.0,2000,6.4847879,15.901009,0.13234997,0.14055443,0.001651857948367,165.948187023086,6.34124185275784,2.48238466529013,0.96860574975006,0.967637277735477,0.0025099599718265,167.475152369126,6.11512431189757,59.6850733562007,0.959627370600489,0.900325458270629,0.0020263970004796,14881.8128764222,402.086819260695,302.395231939088,0.956824881744294,0.949894555408895
BHS,"Bahamas, The",2000,8076470000.0,24940.08,323835.0,79.64,22.812220732830905,4.377516479195996,The Bahamas,0,America,25.083334,-77.333336,English,GBR,Emerging and Developing Economies,0.0,2000,10.124231,12.687989,0.036711693,0.049833298,0.0032400674743747,284.599624366315,16.3274377703281,10.8438090152459,0.861830869549284,0.886590883005714,0.0019554956651094,619.677335990864,7.26383280775829,49.8232163630819,0.987337718314041,0.979030010911511,0.0022371316779766,10660.9276346458,203.673836924962,628.112661337157,0.983909496476708,0.973256760238623
BHR,Bahrain,2000,9062898936.17,14214.48,637582.0,135.81,22.927454876701223,4.911256850115977,Bahrain,0,Asia,26.200001,50.633335,Arabic,GBR,Emerging and Developing Economies,0.0,2000,9.5620165,13.365438,0.15912819,0.18549728,0.0024788075428781,14.041436897609,1.84085018058416,5.93626000911802,0.94848948222156,0.758229117508259,0.0023332757916266,719.903199438577,17.4623158250236,65.1438120646937,0.969639732739947,0.901849306781791,0.0023018274278264,12226.5211216705,777.698841652081,662.374378816844,0.971814161899244,0.959070012439132
BGD,Bangladesh,2000,53369787318.62,396.67,134544304.0,29.32,24.70051064224816,3.3782698770184507,Bangladesh,0,Asia,23.700001,90.366669,Bengali,GBR,Emerging and Developing Economies,0.0,2000,5.9831047,18.717403,0.021841526,0.040126801,0.0016890732046912,29.0815529736234,1.89270531866688,2.06825613938017,0.874772389368704,0.919552181061998,0.002469565977328,510.773790820253,9.34975016839541,110.544258688907,0.945685468696669,0.920346565420044,0.0033807003661796,28328.8425317161,1005.65144869468,1170.65055177723,0.969299496480231,0.987863921857211
BRB,Barbados,2000,3059500000.0,11674.67,262063.0,,21.84151734086687,,Barbados,0,America,13.1,-59.616665,English,GBR,Emerging and Developing Economies,0.0,2000,9.3651772,12.47634,0.037559509,0.035827637,0.0023391566772794,19.1564071354777,2.02934251773663,2.50517874095442,0.728519585313355,0.730101816459764,0.0027627699898529,1181.94334949104,16.563138280014,50.4949242892264,0.96715309312735,0.950114862934837,0.0025311954587973,10775.8348373663,153.323097168678,440.960793207539,0.964526103160354,0.943885344932211
BLR,Belarus,2000,12736780455.15,1276.28,9979610.0,141.61,23.2677597436268,4.953076800234967,Belarus,0,Europe,53.849998,27.5,Belarussian,RUS,Emerging and Developing Economies,0.0,2000,7.1517048,16.116055,0.052841663,0.048131943,0.0012299033180128,7.57424872108639,1.85358071817893,1.80962077517367,0.878604853629339,0.853507353507354,0.0030592291395479,3106.64926220419,91.4759833644761,116.336125828024,0.930747599682858,0.896405691789367,0.0027365042429921,28763.1656728443,1170.26799720655,1320.0571193814,0.973301007795307,0.963506528331234
