iso_o,Country,Time,gdp,gdp_pct,population,trade_gdp_ratio,log_gdp,log_trade_gdp_ratio,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development,TIME_PERIOD,log_gdp_pct,log_population,D_log_gdp_pct,D_log_gdp,Unnamed: 0_x,pageRank_unique.name,pageRank_unique.wpr,close_unique.name,close_unique.closeness,outdegree_unique.name,outdegree_unique.degree,indegree_unique.name,indegree_unique.degree,local_clust_tt_unique,local_clust_out_unique,Unnamed: 0_y,pageRank_repro.name,pageRank_repro.wpr,close_repro.name,close_repro.closeness,outdegree_repro.name,outdegree_repro.degree,indegree_repro.name,indegree_repro.degree,local_clust_tt_repro,local_clust_out_repro,Unnamed: 0,pageRank_total.name,pageRank_total.wpr,close_total.name,close_total.closeness,outdegree_total.name,outdegree_total.degree,indegree_total.name,indegree_total.degree,local_clust_tt_total,local_clust_out_total
AFG,Afghanistan,2000,3521418059.92,174.93,20130327.0,,21.982129603362765,,Afghanistan,1,Asia,34.516666,69.199997,Persian,,Emerging and Developing Economies,0.0,2000,5.1643858,16.817738,-5.4804392,-5.4683113,2,2,0.0008414826182058,2,40.7770337971028,2,1.81068995787668,2,1.19777666323741,0.886691227262261,0.998459792477302,2,2,0.00263218831152,2,47.1181221241172,2,2.89116684250881,2,18.3932102313956,0.952670246823477,0.899091080639074,2,2,0.001914245222872,2,2069.03610209109,2,52.0075941475852,2,253.482912233037,0.966803322252683,0.979251149007684
ALB,Albania,2000,3584570164.85,1160.42,3089027.0,61.61,21.999904405580896,4.120824195026479,Albania,0,Europe,41.333332,19.816668,Albanian,TUR,Emerging and Developing Economies,0.0,2000,7.0565372,14.943367,0.093971729,0.087594986,4,4,0.0013146497124483,4,54.6158232244461,4,2.60987044684982,4,1.55339444753639,0.978204160468885,0.969192427751485,4,4,0.0019605481224713,4,448.857606981934,4,6.83607767558328,4,35.5396035460373,0.967590163523869,0.975166143646144,4,4,0.0020452369343258,4,7570.06441875729,4,91.307898811847,4,237.84846094127,0.988907316518919,0.993153158848996
DZA,Algeria,2000,54790398570.33,1772.93,30903893.0,62.86,24.726780806978947,4.140910031369422,Algeria,0,Africa,36.833332,3.0,Arabic,FRA,Emerging and Developing Economies,0.0,2000,7.4803886,17.246393,0.10505772,0.11905479,49,49,0.0013827357673253,49,10.9943014754845,49,1.36132297665579,49,2.09642095805867,0.936613452423729,1.0,51,51,0.0034304463962225,51,338.815368747947,51,5.90991587272091,51,197.113220022347,0.96084391981421,0.845628211740883,51,51,0.0031355237450608,51,35137.1026753201,51,2921.36489021271,51,1362.58628134479,0.985174859160834,0.990450205497902
AND,Andorra,2000,1432606188.69,21810.25,65685.0,,21.08276113203617,,Andorra,0,Europe,42.5,1.5,Catalan,,Advanced Economies,1.0,2000,9.9901352,11.092626,0.14452648,0.14414597,5,5,0.0019020950443388,5,24.6934681923821,5,1.82145896491753,5,2.71427825774587,0.999649119650199,1.0,5,5,0.0018034638510247,5,463.833368742637,5,9.28392250659232,5,46.8285419862595,0.977696374961221,0.974127709663284,5,5,0.0020119955968727,5,1779.9052779353,5,18.7423973165377,5,220.411329441408,0.996975235273417,0.992942988775398
AGO,Angola,2000,9129594970.15,563.73,16194869.0,,22.9347871680446,,Angola,0,Africa,-8.833333,13.25,Portuguese,PRT,Emerging and Developing Economies,0.0,2000,6.3345752,16.600204,0.36145258,0.39459419,3,3,0.0011244707964375,3,13.5585458615258,3,2.18100726548807,3,1.63879501774964,0.800758708465654,0.846746438746439,3,3,0.0025806502082868,3,132.102260507724,3,4.17107790463358,3,59.1577624673911,0.933514392154689,0.93488887889823,3,3,0.002224464547708,3,32948.1212778034,3,1333.93813630026,3,405.746457708365,0.985953270429229,0.984153857183793
ATG,Antigua and Barbuda,2000,901003703.7,12027.49,74912.0,,20.619019926219,,Antigua and Barbuda,0,America,17.133333,-61.833332,English,GBR,Emerging and Developing Economies,0.0,2000,9.3949499,11.22407,0.058652878,0.075426102,9,9,0.0020361452219838,9,4.0771496930853,9,1.63717517009068,9,2.11071277787962,0.847913887653772,0.714666666666667,9,9,0.0018641462871979,9,168.621532838314,9,4.24293290659,9,20.9431144564091,0.963940708029771,0.796527730380024,9,9,0.0021845593023881,9,4161.39948305368,9,48.9780438541395,9,210.985837254001,0.975023872265609,0.976348186943061
ARG,Argentina,2000,284203750000.0,7637.01,37213984.0,22.62,26.372957247455503,3.1188344706879745,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0,2000,8.9407616,17.432196,-0.0089330673,0.0023975372,7,7,0.0026637974189639,7,192.321525533684,7,9.38735835486127,7,4.50927983960568,0.966632985801562,0.99441317915815,7,7,0.0076839044726178,7,4103.67168480842,7,128.976704761144,7,731.915916711288,0.940003466381227,0.809235054722104,7,7,0.0046167990002161,7,36279.5556206461,7,3324.8178766253,7,2691.20090121198,0.944879782737872,0.925439603267965
ARM,Armenia,2000,1911563668.85,593.45,3221100.0,72.23,21.371187418864107,4.279855472062756,Armenia,1,Asia,40.183334,44.5,Armenian,TUR,Emerging and Developing Economies,0.0,2000,6.3859529,14.985233,0.018332005,0.035181046,8,8,0.0013275979606841,8,27.3828792462484,8,1.84241601735323,8,1.95233215296135,0.950589960300444,1.0,8,8,0.0020549980658309,8,545.992733120304,8,13.6757741314984,8,30.3493915323797,0.915661971674547,0.832345613388851,8,8,0.0018779537670411,8,4609.59385836802,8,92.3744523780847,8,182.541695318292,0.977034667811108,0.968419496205462
ABW,Aruba,2000,1873452513.97,20681.02,90588.0,145.07,21.351048829717204,4.977216384550811,Aruba,0,America,12.55,-70.099998,Dutch,NLD,Emerging and Developing Economies,0.0,2000,9.9369717,11.414077,0.073462486,0.083772659,1,1,0.0028882115984802,1,14.9363548736272,1,1.96707252368146,1,4.09339749837152,0.811990705103207,0.493201144245464,1,1,0.001819706562405,1,74.16443467638,1,2.7358089266799,1,25.259028884782,0.979451465857218,0.852740454227884,1,1,0.0019200040773688,1,23370.7557479367,1,389.186756707672,1,249.620029299042,0.981363665059281,0.986944203239206
AUS,Australia,2000,416167815092.91,21870.42,19028802.0,40.94,26.75435441752875,3.712107580233144,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0,2000,9.9928904,16.761465,0.054389954,0.065834045,10,10,0.0094903604987524,10,241.774660835426,10,24.4755107223116,10,36.7596398224097,0.82173955270853,0.809037322658543,10,10,0.0103281907343236,10,5729.4087634728,10,465.836748290229,10,1478.20850828736,0.886618412588835,0.80214663426761,10,10,0.0093034621749024,10,53322.8688798628,10,6633.38354404382,10,6283.11227284468,0.953769987490146,0.947063970560266
